"Centipede: Infestation","WayForward Technologies","Atari, SA","Unreleased","November 1, 2011","Unreleased","Unreleased",""
"Chain Blaster","G-Style","Joindots","June 12, 2013","July 25, 2013","Unreleased","September 1, 2016",""
"Chari-Sou DX3: Time Rider","Spicysoft","Spicysoft","December 17, 2014","Unreleased","Unreleased","Unreleased",""
"Chase: Cold Case Investigations - Distant Memories","Arc System Works","JP: Arc System WorksWW: Aksys Games","May 11, 2016","October 13, 2016","Unreleased","October 13, 2016",""
"Chevrolet Camaro Wild Ride","Visual Impact","Storm City Games","Unreleased","September 12, 2011","Unreleased","November 14, 2011",""
"Chibi-Robo! Photo Finder","Skip Ltd.","Nintendo","July 3, 2013","January 9, 2014","July 3, 2014","July 3, 2014",""
"Chibi-Robo! Zip Lash","Skip Ltd.","Nintendo","October 8, 2015","October 9, 2015","November 7, 2015","November 6, 2015",""
"Chicken Wiggle","Atooi","Atooi","Unreleased","August 17, 2017","Unreleased","August 17, 2017",""
"Chō Soku Henkei Gyrozetter","Noise","Square Enix","June 13, 2013","Unreleased","Unreleased","Unreleased",""
"Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi","Bandai Namco Games","Bandai Namco Games","November 16, 2017","Unreleased","Unreleased","Unreleased",""
"Chou 2 Talk","WaiS","WaiS","August 9, 2017","Unreleased","Unreleased","Unreleased",""
"Choujin Baseball Stadium: Nekketsu Story","Culture Brain Excel","Culture Brain Excel","October 11, 2017","Unreleased","Unreleased","Unreleased",""
"Chouju Giga Taisen","Silver Star","Silver Star","May 17, 2017","Unreleased","Unreleased","Unreleased",""
"Christmas Night Archery","Petite Games","Petite Games","Unreleased","December 7, 2017","Unreleased","December 7, 2017",""
"Chronus Arc","Kemco","Hit Point","August 19, 2015","October 1, 2015","Unreleased","December 17, 2015",""
"Citizens of Earth","Eden Industries","Atlus","Unreleased","January 22, 2015","Unreleased","January 22, 2015",""
"City Skaters: Run Boy, Run Girl","Denvzla Estudio","Denvzla Estudio","Unreleased","June 4, 2020","Unreleased","Unreleased",""
"Classic Games Overload: Card & Puzzle Edition","Telegames","Telegames","Unreleased","November 30, 2012","Unreleased","Unreleased",""
"Cloudy with a Chance of Meatballs 2","1st Playable Productions","GameMill Entertainment","Unreleased","September 17, 2013","Unreleased","October 11, 2013",""
"Coaster Creator 3D","Big John Games","Big John Games","July 24, 2013","February 28, 2013","Unreleased","May 29, 2014",""
"Cocoro: Line Defender","Moving Player","Moving Player","Unreleased","June 26, 2014","Unreleased","June 26, 2014",""
"Cocoto Alien Brick Breaker","Bigben Interactive","JP: TeyonWW: Bigben Interactive","October 22, 2014","January 24, 2013","Unreleased","August 17, 2012",""
"Code Name: S.T.E.A.M.","Intelligent Systems","Nintendo","May 14, 2015","March 14, 2015","May 16, 2015","May 15, 2015",""
"Code of Princess","Agatsuma EntertainmentBones","JP: Agatsuma EntertainmentWW: Atlus","April 19, 2012","October 9, 2012","March 28, 2013","March 28, 2013",""
"Color Cubes","RCMADIAX","RCMADIAX","Unreleased","January 19, 2017","January 19, 2017","January 19, 2017",""
"Collide-a-Ball","Sims","Starsign","September 2, 2015","September 15, 2016","Unreleased","November 3, 2016",""
"Combat of Giants: Dinosaurs 3D","Ubisoft Quebec","Ubisoft","February 26, 2011","March 27, 2011","March 31, 2011","March 31, 2011",""
"Conception II: Children of the Seven Stars","Spike Chunsoft","JP: Spike ChunsoftWW: Atlus","August 22, 2013","April 15, 2014","May 15, 2014","May 14, 2014",""
"Conveni Dream","Arc System Works","Circle Entertainment","September 24, 2014","May 26, 2016","Unreleased","June 24, 2016",""
"Cooking Mama 4: Kitchen Magic","Cooking Mama Limited","JP: Cooking Mama LimitedNA: Majesco EntertainmentPAL: 505 Games","December 1, 2011","November 16, 2011","November 24, 2011","November 25, 2011",""
"Cooking Mama 5: Bon Appétit!","Cooking Mama Limited","JP: Cooking Mama LimitedNA: Majesco EntertainmentPAL: Nintendo","November 21, 2013","September 16, 2014","March 7, 2015","March 6, 2015",""
"Cooking Mama: Sweet Shop","Office Create","JP: Office CreateWW: Rising Star Games","November 6, 2014","May 16, 2017","May 19, 2017","May 26, 2017",""
"Corpse Party","Xseed Games","Xseed Games","July 30, 2015","October 25, 2016","Unreleased","October 26, 2016",""
"Crashmo","Intelligent Systems","Nintendo","October 31, 2012","November 22, 2012","November 15, 2012","November 15, 2012",""
"Crayon Shin-Chan: Arashi wo Yobu Kasukabe Eiga Stars!","Bandai Namco Games","Bandai Namco Games","April 10, 2014","Unreleased","Unreleased","Unreleased",""
"Crayon Shin-Chan Gekiatsu! Oden wa Rudo Dai Konran!!","FuRyu","FuRyu","November 30, 2017","Unreleased","Unreleased","Unreleased",""
"Crazy Chicken Pirates 3D","Teyon","Teyon","February 27, 2013","August 16, 2012","Unreleased","September 27, 2012",""
"Crazy Chicken: Director's Cut 3D","Teyon","Teyon","March 19, 2014","November 7, 2013","Unreleased","October 24, 2013",""
"Crazy Construction","G-Style","G-Style","October 31, 2012","April 25, 2013","Unreleased","October 23, 2014",""
"Crazy Kangaroo","Gamelion","JP: TeyonWW: Gamelion","February 13, 2013","October 11, 2012","Unreleased","September 13, 2012",""
"Creeping Terror","Sushi Typhoon Games","MebiusAksys Games","January 18, 2017","October 31, 2017","Unreleased","October 31, 2017",""
"Crimson Shroud","Level-5","Level-5","November 28, 2012","December 13, 2012","December 13, 2012","December 13, 2012",""
"Crollors Game Pack","Nvriezen","Nvriezen","Unreleased","July 6, 2017","Unreleased","December 8, 2016",""
"The Croods: Prehistoric Party!","Torus Games","D3 Publisher","Unreleased","March 19, 2013","April 11, 2014","April 12, 2013",""
"Crosswords Plus","Nintendo","Nintendo","Unreleased","October 1, 2012","Unreleased","Unreleased",""
"Crush 3D","Zoë Mode","Sega","February 23, 2012","March 6, 2012","February 9, 2012","January 13, 2012",""
"Crystareino","Kemco","Kemco","August 2, 2017","September 7, 2017","Unreleased","September 7, 2017",""
"Cube Creator 3D","Big John Games","Big John Games","July 15, 2015","April 23, 2015","Unreleased","August 20, 2015",""
"Cube Creator DX","Arc System Works","Arc System Works","April 27, 2017","November 8, 2018","Unreleased","August 1, 2019",""
"Cubic Ninja","AQ Interactive","JP: AQ InteractiveWW: Ubisoft","April 7, 2011","June 14, 2011","June 23, 2011","June 24, 2011",""
"Cubit the Hardcore Platformer Robot","CoderChild","CoderChild","August 6, 2014","December 26, 2013","Unreleased","March 13, 2014",""
"Culdcept Revolt","OmiyaSoft","JP: NintendoWW: NIS America","July 7, 2016","October 3, 2017","October 13, 2017","October 6, 2017",""
"Cup Critters","RCMADIAX","RCMADIAX","April 12, 2017","December 1, 2016","December 1, 2016","December 1, 2016",""
"Cursed Castilla","Locomalito","JP: Flyhigh WorksWW: Abylight","July 12, 2017","July 13, 2017","Unreleased","July 13, 2017",""
"Cut the Rope","Abylight","ZeptoLab","Unreleased","September 19, 2013","Unreleased","August 22, 2013",""
"Cut the Rope: Triple Treat","Fun Labs","Activision","Unreleased","March 25, 2014","April 25, 2014","March 28, 2014",""
"Cycle of Eternity: Space Anomaly","RandomSpin","RandomSpin","Unreleased","April 19, 2018","Unreleased","March 8, 2018",""
"Dai Gyakuten Saiban: Naruhodō Ryūnosuke no Bōken","Capcom","Capcom","July 9, 2015","Unreleased","Unreleased","Unreleased",""
"Dai Gyakuten Saiban 2: Naruhodō Ryūnosuke no Kakugo","Capcom","Capcom","August 3, 2017","Unreleased","Unreleased","Unreleased",""
"Daigasso! Band Brothers P","Nintendo","Nintendo","November 14, 2013","Unreleased","Unreleased","Unreleased",""
"Daisenryaku Daitoua Koboshi DX: Dainiji Sekai Taisen","SystemSoft Alpha","SystemSoft Alpha","May 23, 2019","Unreleased","Unreleased","Unreleased",""
"Dan McFox: Head Hunter","Lightwood Games","Lightwood Games","Unreleased","June 9, 2016","Unreleased","April 21, 2016",""
"Dangerous Road","Sims","Starsign","Unreleased","November 10, 2016","Unreleased","Unreleased",""
"Dark Island","Vadim Gafton","Random Spin","Unreleased","October 15, 2020","Unreleased","October 22, 2020",""
"Dasshutsu Adventure: Majo no Sumu Yakata","Intense","Arc System Works","December 19, 2012","Unreleased","Unreleased","Unreleased",""
"Dead or Alive: Dimensions","Team Ninja","PAL: NintendoWW: Tecmo Koei","May 19, 2011","May 24, 2011","May 26, 2011","May 20, 2011",""
"Deca Sports Extreme","Hudson Soft","Konami","April 28, 2011","September 20, 2011","June 2, 2011","June 9, 2011",""
"Dedede's Drum Dash Deluxe","HAL Laboratory","Nintendo","July 23, 2014","August 29, 2014","February 13, 2015","February 13, 2015",""
"Defend Your Crypt","Ratalaika Games","JP: StarsignWW: Ratalaika Games","December 28, 2016","July 21, 2016","Unreleased","July 21, 2016",""
"Deer Drive Legends","Raylight Studios","Maximum Games","Unreleased","May 27, 2012","Unreleased","August 8, 2013",""
"The Delusions of Von Sottendorff and His Square Mind","Delirium Studios","Delirium Studios","Unreleased","December 17, 2015","Unreleased","December 17, 2015",""
"Dementium: Remastered","Renegade Kid","Renegade Kid","Unreleased","December 3, 2015","Unreleased","February 11, 2016",""
"Demon King Box","Circle Entertainment","Circle EntertainmentLanan","Unreleased","August 21, 2014","Unreleased","September 25, 2014",""
"The Denpa Men: They Came By Wave","Genius Sonority","Genius Sonority","February 8, 2012","September 27, 2012","December 6, 2012","December 6, 2012",""
"The Denpa Men 2: Beyond the Waves","Genius Sonority","Genius Sonority","September 26, 2012","May 30, 2013","May 30, 2013","May 30, 2013",""
"The Denpa Men 3: The Rise of the Digitoll","Genius Sonority","Genius Sonority","August 7, 2013","May 8, 2014","May 8, 2014","May 8, 2014",""
"The Denpa Men RPG Free!","Genius Sonority","Genius Sonority","July 23, 2014","Unreleased","Unreleased","Unreleased",""
"Densha Unten Shirei! Toukyouwan-Hen","Arc System Works","Arc System Works","January 11, 2017","Unreleased","Unreleased","Unreleased",""
"Derby Stallion Gold","Parity Bit","Kadokawa Games","December 4, 2014","Unreleased","Unreleased","Unreleased",""
"Detective Pikachu","The Pokémon Company","Nintendo","February 3, 2016","March 23, 2018","March 24, 2018","March 23, 2018",""
"Devil Survivor 2: Record Breaker","Atlus","Atlus","January 29, 2015","May 5, 2015","November 8, 2015","October 30, 2015",""
"Digger Dan EX","Four Horses","Four Horses","Unreleased","May 19, 2016","Unreleased","May 19, 2016",""
"Digimon Universe: Appli Monsters","Inti Creates","Bandai Namco Entertainment","December 1, 2016","Unreleased","Unreleased","Unreleased",""
"Digimon World Re:Digitize Decode","Tri-Crescendo","Bandai Namco Games","June 27, 2013","Unreleased","Unreleased","Unreleased",""
"Dillon's Dead-Heat Breakers","Vanpool","Nintendo","April 26, 2018","May 24, 2018","May 26, 2018","May 25, 2018",""
"Dillon's Rolling Western","Vanpool","Nintendo","February 22, 2012","February 22, 2012","February 22, 2012","February 22, 2012",""
"Dillon's Rolling Western: The Last Ranger","Vanpool","Nintendo","April 10, 2013","April 11, 2013","June 27, 2013","June 27, 2013",""
"Disney Art Academy","Headstrong Games","Nintendo","April 7, 2016","May 13, 2016","July 16, 2016","July 15, 2016",""
"Disney Big Hero 6: Battle in the Bay","GameMill Entertainment","GameMill Entertainment","December 10, 2015","October 28, 2014","December 9, 2014","January 23, 2015",""
"Disney Epic Mickey: The Power of Illusion","DreamRift","JP: Spike ChunsoftNA: Disney Interactive StudiosPAL: Nintendo","September 26, 2013","November 18, 2012","November 22, 2012","November 23, 2012",""
"Disney Frozen: Olaf's Quest","1st Playable Productions","JP: Bergsala LightweightNA: GameMill EntertainmentPAL: Avanquest Software","December 3, 2015","November 12, 2013","January 18, 2014","December 6, 2013",""
"Disney Infinity: Toy Box Challenge","Avalanche Software","JP: NamcoWW: Disney Interactive Studios","November 28, 2013","August 18, 2013","August 22, 2013","August 20, 2013",""
"Disney Magical World","h.a.n.d.Bandai Namco Games","JP: NamcoWW: Nintendo","August 1, 2013","April 11, 2014","October 25, 2014","October 24, 2014",""
"Disney Magical World 2","h.a.n.d.Bandai Namco Games","JP: Bandai Namco EntertainmentWW: Nintendo","November 8, 2015","October 14, 2016","October 15, 2016","October 14, 2016",""
"Disney Planes","Disney Interactive Studios","Disney Interactive Studios","Unreleased","August 6, 2013","September 5, 2013","August 16, 2013",""
"Disney Planes: Fire & Rescue","Disney Interactive Studios","Little Orbit","Unreleased","November 4, 2014","November 6, 2014","November 7, 2014",""
"Disney Princess: My Fairytale Adventure","Disney Interactive Studios","Disney Interactive Studios","Unreleased","September 25, 2012","November 1, 2012","August 17, 2012",""
"Disney Violetta Rhythm & Music","Disney Interactive Studios","Disney Interactive Studios","Unreleased","December 4, 2014","Unreleased","September 26, 2014",""
"Doctor Lautrec and the Forgotten Knights","KonamiWinkysoft","Konami","July 7, 2011","December 6, 2011","November 24, 2011","November 25, 2011",""
"DodgeBox","Bidement Entertainment","Bidement Entertainment","Unreleased","May 18, 2017","Unreleased","Unreleased",""
"Dodge Club Pocket","James Montagna","James Montagna","Unreleased","March 29, 2018","April 19, 2018","April 19, 2018",""
"Doll Fashion Atelier","Mebius","Teyon","August 13, 2015","April 7, 2016","Unreleased","August 11, 2016",""
"Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!","Happinet","Happinet","November 20, 2014","Unreleased","Unreleased","Unreleased",""
"Don't Crash Go","RCMADIAX","RCMADIAX","Unreleased","April 20, 2017","March 16, 2017","March 16, 2017",""
"Donkey Kong Country Returns 3D","Monster Games","Nintendo","June 13, 2013","May 24, 2013","May 25, 2013","May 24, 2013",""
"Doodle Jump Adventures","Avanquest Software","GameMill Entertainment","Unreleased","October 29, 2013","November 5, 2013","November 5, 2013",""
"Dooors","Pumo","Pumo","December 3, 2014","April 16, 2015","Unreleased","Unreleased",""
"Dopamix","G-Mode","G-Mode","March 14, 2012","Unreleased","Unreleased","Unreleased",""
"Doraemon: Nobita no Himitsu Dougu Hakubutsukan","FuRyu","FuRyu","March 7, 2013","Unreleased","Unreleased","Unreleased",""
"Doraemon: Nobita no Nankyoku Kachikochi Daibouken","FuRyu","FuRyu","March 2, 2017","Unreleased","Unreleased","Unreleased",""
"Doraemon: Nobita no Space Heroes","FuRyu","FuRyu","March 5, 2015","Unreleased","Unreleased","Unreleased",""
"Doraemon: Nobita no Takarajima","FuRyu","FuRyu","March 1, 2018","Unreleased","Unreleased","Unreleased",""
"Doraemon: Nobita and the Island of Miracles—Animal Adventure","FuRyu","FuRyu","March 1, 2012","Unreleased","Unreleased","Unreleased",""
"Doraemon: Shin Nobita no Daimakyou","FuRyu","FuRyu","March 6, 2014","Unreleased","Unreleased","Unreleased",""
"Doraemon: Shin Nobita no Nihontanjou","FuRyu","FuRyu","March 3, 2016","Unreleased","Unreleased","Unreleased",""
"Dot Runner: Complete Edition","Intense","Intense","September 14, 2011","July 26, 2012","Unreleased","September 20, 2012",""
"Double Breakout","nuGAME","nuGAME","Unreleased","September 6, 2018","Unreleased","August 9, 2018",""
"Doukutsujima","SmileBoom","SmileBoom","May 17, 2017","Unreleased","Unreleased","Unreleased",""
"Downtown Nekketsu Jidaigeki","Arc System Works","Arc System Works","May 28, 2015","Unreleased","Unreleased","Unreleased",""
"Dr. Mario: Miracle Cure","Nintendo","Nintendo","May 31, 2015","June 11, 2015","June 11, 2015","June 11, 2015",""
"Dragon Ball Fusions","Ganbarion","Bandai Namco Entertainment","August 4, 2016","November 22, 2016","February 17, 2017","February 17, 2017",""
"Dragon Ball Heroes: Ultimate Mission","Bandai Namco Games","Bandai Namco Games","February 28, 2013","Unreleased","Unreleased","Unreleased",""
"Dragon Ball Heroes: Ultimate Mission 2","Bandai Namco Games","Bandai Namco Games","August 7, 2014","Unreleased","Unreleased","Unreleased",""
"Dragon Ball Heroes: Ultimate Mission X","Bandai Namco Games","Bandai Namco Games","April 27, 2017","Unreleased","Unreleased","Unreleased",""
"Dragon Ball Z: Extreme Butōden","Bandai Namco Games","Bandai Namco Games","June 11, 2015","October 20, 2015","October 16, 2015","October 16, 2015",""
"Dragon Fang Z: Ryuusha Rose to Yadorigi no Meikyuu","Toydea","Toydea","December 23, 2019","Unreleased","Unreleased","Unreleased",""
"Dragon Fantasy: The Black Tome of Ice","Muteki Corporation","Choice Provisions","Unreleased","May 26, 2016","Unreleased","Unreleased",""
"Dragon Fantasy: The Volumes of Westeria","Muteki Corporation","Choice Provisions","Unreleased","July 23, 2015","Unreleased","Unreleased",""
"Dragon Lapis","Kemco","Kemco","April 18, 2018","May 31, 2018","Unreleased","May 31, 2018",""
"Dragon Quest","Square Enix","Square Enix","August 10, 2017","Unreleased","Unreleased","Unreleased",""
"Dragon Quest II","Square Enix","Square Enix","August 10, 2017","Unreleased","Unreleased","Unreleased",""
"Dragon Quest III","Square Enix","Square Enix","August 24, 2017","Unreleased","Unreleased","Unreleased",""
"Dragon Quest VII","ArtePiazza","Square Enix","February 7, 2013","September 16, 2016","September 17, 2016","September 16, 2016",""
"Dragon Quest VIII","Level-5","Square Enix","August 27, 2015","January 20, 2017","January 21, 2017","January 20, 2017",""
"Dragon Quest X","Square Enix","Square Enix","December 12, 2012","Unreleased","Unreleased","Unreleased",""
"Dragon Quest XI","Square EnixArmor Project","Square Enix","July 29, 2017","Unreleased","Unreleased","Unreleased",""
"Dragon Quest Monsters: Joker 3","Square Enix","Square Enix","March 24, 2016","Unreleased","Unreleased","Unreleased",""
"Dragon Quest Monsters: Joker 3 Professional","Square Enix","Square Enix","February 9, 2017","Unreleased","Unreleased","Unreleased",""
"Dragon Quest Monsters: Terry's Wonderland 3D","Square Enix","Square Enix","May 31, 2012","Unreleased","Unreleased","Unreleased",""
"Dragon Quest Monsters 2: Iru and Luca's Marvelous Mysterious Key","Square Enix","Square Enix","February 6, 2014","Unreleased","Unreleased","Unreleased",""
"Dragon Sinker","Kemco","Kemco","February 15, 2017","April 6, 2017","Unreleased","April 6, 2017",""
"Dragon's Wrath","Codeglue","Gamers Digital","Unreleased","January 17, 2019","Unreleased","Unreleased",""
"Drancia Saga","Urara-works","JP: Flyhigh WorksWW: Circle Entertainment","September 2, 2016","May 18, 2017","Unreleased","May 25, 2017",""
"Dream Trigger 3D","Art","D3 Publisher","Unreleased","May 10, 2011","August 4, 2011","July 15, 2011",""
"DreamWorks Madagascar 3: The Video Game","Torus Games","D3 Publisher","August 2, 2012","June 5, 2012","September 6, 2012","October 12, 2012",""
"DreamWorks Super Star Kartz","High Impact Games","Activision","Unreleased","November 15, 2011","Unreleased","November 18, 2011",""
"Dreeps: Alarm Playing Game","Mebius","Mebius","June 27, 2018","Unreleased","Unreleased","Unreleased",""
"Dress to Play: Cute Witches!","CoderChild","JP: StarsignWW: EnjoyUp Games","April 16, 2014","November 8, 2012","Unreleased","November 22, 2012",""
"Dress to Play: Magic Bubbles!","CoderChild","JP: StarsignWW: EnjoyUp Games","April 30, 2014","May 16, 2013","Unreleased","July 4, 2013",""
"Driver: Renegade 3D","Ubisoft","Ubisoft","November 10, 2011","September 6, 2011","September 1, 2011","September 2, 2011",""
"Drone Fight","Silver Star","NA: Circle EntertainmentWW: Silver Star","December 28, 2016","May 25, 2017","Unreleased","June 1, 2017",""
"DualPenSports","indieszero","Bandai Namco Games","June 2, 2011","June 21, 2011","September 22, 2011","September 2, 2011",""
"Duck Dynasty","Activision","Activision","Unreleased","October 14, 2014","Unreleased","Unreleased",""
"Dungeon Runner","Denvzla Estudio","Denvzla Estudio","Unreleased","July 2, 2020","Unreleased","Unreleased",""
"Earthpedia","Gakken","Gakken","April 19, 2012","Unreleased","Unreleased","Unreleased",""
"Edge","Two Tribes","Two Tribes","June 4, 2014","December 26, 2013","Unreleased","December 26, 2013",""
"Elliot Quest","Ansimuz Games","PlayEveryWare Games","Unreleased","May 11, 2017","Unreleased","May 11, 2017",""
"Elminage II: Sousei no Megami to Unmei no Daichi","Joyful Table","Joyful Table","March 22, 2017","Unreleased","Unreleased","Unreleased",""
"Elminage III: Ankoku no Shito to Taiyou no Kyuuden","Joyful Table","Joyful Table","July 12, 2017","Unreleased","Unreleased","Unreleased",""
"Elminage Original","Joyful Table","JP: Joyful TableWW: Rising Star Games","December 14, 2016","August 10, 2017","Unreleased","Unreleased",""
"Epic Word Search Collection","Lightwood Games","Lightwood Games","Unreleased","June 23, 2015","Unreleased","January 28, 2016",""
"Epic Word Search Collection 2","Lightwood Games","Lightwood Games","Unreleased","May 26, 2016","Unreleased","May 26, 2016",""
"Epic Word Search Holiday Special","Lightwood Games","Lightwood Games","Unreleased","October 6, 2016","Unreleased","October 6, 2016",""
"Escape From Forest","RandomSpin","Vadim Gafton","Unreleased","August 6, 2020","Unreleased","October 15, 2020",""
"Escape From Zombie City","Tom Create","Tom Create","July 18, 2012","October 10, 2013","Unreleased","October 29, 2013",""
"escapeVektor","Nnooo","Nnooo","December 11, 2013","December 20, 2012","Unreleased","December 20, 2012",""
"Etrian Mystery Dungeon","AtlusSpike Chunsoft","Atlus","March 5, 2015","April 7, 2015","September 17, 2015","September 11, 2015",""
"Etrian Mystery Dungeon 2","AtlusSpike Chunsoft","Atlus","August 31, 2017","Unreleased","Unreleased","Unreleased",""
"Etrian Odyssey IV: Legends of the Titan","Atlus","JP: AtlusNA: Atlus USAPAL: NIS America","July 5, 2012","February 26, 2013","September 5, 2013","August 30, 2013",""
"Etrian Odyssey V: Beyond the Myth","Atlus","JP: AtlusNA: Atlus USA","August 4, 2016","October 17, 2017","November 3, 2017","November 3, 2017",""
"Etrian Odyssey Nexus","Atlus","Atlus","August 2, 2018","February 5, 2019","Unreleased","February 5, 2019",""
"Etrian Odyssey Untold: The Millennium Girl","Atlus","EU: NIS AmericaWW: Atlus","June 27, 2013","October 1, 2013","Unreleased","May 2, 2014",""
"Etrian Odyssey Untold 2: The Fafnir Knight","Atlus","EU: NIS AmericaWW: Atlus","November 27, 2014","August 4, 2015","Unreleased","February 12, 2016",""
"European Conqueror 3D","Circle Entertainment","Circle Entertainment","Unreleased","June 19, 2014","Unreleased","September 4, 2014",""
"Ever Oasis","Grezzo","Nintendo","July 13, 2017","June 23, 2017","June 24, 2017","June 23, 2017",""
"E.X. Troopers","Capcom","Capcom","November 22, 2012","Unreleased","Unreleased","Unreleased",""
"Excave","Mechanic Arms","JP: Mechanic ArmsWW: Teyon","November 27, 2013","February 19, 2015","Unreleased","March 26, 2015",""
"Excave II: Wizard of the Underworld","Mechanic Arms","JP: Mechanic ArmsWW: Bergsala Lightweight","July 16, 2014","April 2, 2015","Unreleased","April 30, 2015",""
"Excave III: Tower of Destiny","Mechanic Arms","JP: Mechanic ArmsWW: Bergsala Lightweight","January 28, 2015","April 14, 2016","Unreleased","February 25, 2016",""
"Exstetra","FuRyu","FuRyu","November 7, 2013","Unreleased","Unreleased","Unreleased",""
"EyeResh","MCFProfessor Hisao Ishigaki","MCF","August 31, 2016","Unreleased","Unreleased","Unreleased",""
"F1 2011","Codemasters Birmingham","Codemasters","December 22, 2011","November 25, 2011","December 1, 2011","November 24, 2011",""
"FabStyle","Koei Tecmo Games","Koei Tecmo Games","November 24, 2011","Unreleased","Unreleased","Unreleased",""
"Face Racers: Photo Finish","Renegade Kid","Majesco Entertainment","Unreleased","December 6, 2011","Unreleased","Unreleased",""
"Fairune","Skipmore","JP: Flyhigh WorksWW: Circle Entertainment","October 8, 2014","December 18, 2014","Unreleased","December 11, 2014",""
"Fairune 2","Skipmore","JP: Flyhigh WorksWW: Circle Entertainment","July 13, 2016","October 20, 2016","Unreleased","October 27, 2016",""
"Family Bowling 3D","Arc System Works","Arc System Works","September 14, 2011","October 3, 2013","Unreleased","November 12, 2015",""
"Family Fishing","Arc System Works","Aksys Games","Unreleased","November 19, 2015","Unreleased","January 28, 2016",""
"Family Kart 3D","Arc System Works","Arc System Works","April 11, 2012","August 1, 2013","Unreleased","July 31, 2014",""
"Family Table Tennis 3D","Arc System Works","Aksys Games","July 18, 2012","September 26, 2013","Unreleased","Unreleased",""
"Family Tennis 3D","Arc System Works","Arc System Works","September 28, 2011","July 5, 2012","Unreleased","February 28, 2013",""
"Fantasy Life","Level-5","JP: Level-5WW: Nintendo","December 27, 2012","October 24, 2014","September 27, 2014","September 26, 2014",""
"Fantasy Life Link!","Level-5","Level-5","July 25, 2013","Unreleased","Unreleased","Unreleased",""
"Fantasy Pirates","EnjoyUp Games","JP: CosenWW: EnjoyUp Games","April 20, 2016","July 23, 2015","Unreleased","July 2, 2015",""
"Farming Simulator 14","Firebrand Games","Focus Home Interactive","August 7, 2014","June 24, 2014","Unreleased","June 5, 2014",""
"Farming Simulator 18","Giants Software","JP: IntergrowWW: Focus Home Interactive","July 20, 2017","June 6, 2017","June 9, 2017","June 6, 2017",""
"Farming Simulator 3D","Giants Software","Focus Home Interactive","April 4, 2013","June 23, 2013","Unreleased","March 30, 2012",""
"Farmscapes","Playrix","Denda Games","Unreleased","Unreleased","Unreleased","March 14, 2013",""
"Fast & Furious: Showdown","Firebrand Games","Activision","Unreleased","May 21, 2013","May 22, 2013","May 24, 2013",""
"Fat Dragons","Nostatic Software","Nostatic Software","Unreleased","February 22, 2018","Unreleased","February 15, 2018",""
"Fatal Fracture","Igor Gafton","VG && IG","Unreleased","October 10, 2019","Unreleased","November 21, 2019",""
"Fate/kaleid liner Prisma Illya","Kadokawa Games","Kadokawa Games","July 31, 2014","Unreleased","Unreleased","Unreleased",""
"FIFA 14: Legacy Edition","EA Canada","Electronic Arts","Unreleased","September 24, 2013","September 26, 2013","September 27, 2013",""
"FIFA 15: Legacy Edition","EA Canada","Electronic Arts","Unreleased","September 23, 2014","September 25, 2014","September 26, 2014",""
"FIFA Soccer 12","EA Canada","Electronic Arts","Unreleased","September 27, 2011","September 29, 2011","September 30, 2011",""
"FIFA Soccer 13","EA Canada","Electronic Arts","Unreleased","September 25, 2012","September 27, 2012","September 28, 2012",""
"Fifteen","RCMADIAX","RCMADIAX","Unreleased","April 13, 2017","March 30, 2017","March 30, 2017",""
"Final Fantasy Explorers","Square EnixRacjin","Square Enix","December 18, 2014","January 26, 2016","January 29, 2016","January 29, 2016",""
"Finding Nemo: Escape to the Big Blue Special Edition","Disney Interactive Studios","Disney Interactive Studios","Unreleased","September 11, 2012","November 1, 2012","February 14, 2013",""
"Fire Emblem Awakening","Intelligent SystemsNintendo SPD","Nintendo","April 19, 2012","February 4, 2013","April 20, 2013","April 19, 2013",""
"Fire Emblem Echoes: Shadows of Valentia","Intelligent SystemsNintendo SPD","Nintendo","April 20, 2017","May 19, 2017","May 20, 2017","May 19, 2017",""
"Fire Emblem Fates: Birthright","Intelligent SystemsNintendo SPD","Nintendo","June 25, 2015","February 19, 2016","May 21, 2016","May 20, 2016",""
"Fire Emblem Fates: Conquest","Intelligent SystemsNintendo SPD","Nintendo","June 25, 2015","February 19, 2016","May 21, 2016","May 20, 2016",""
"Fire Emblem Fates: Revelation","Intelligent SystemsNintendo SPD","Nintendo","July 15, 2015","March 10, 2016","May 21, 2016","May 20, 2016",""
"Fire Emblem Warriors","Omega ForceTeam NinjaIntelligent Systems","Nintendo","September 28, 2017","October 20, 2017","October 20, 2017","October 20, 2017",""
"Fireman Sam: To the Rescue","Avanquest","Avanquest","Unreleased","Unreleased","Unreleased","November 27, 2015",""
"Fish Eyes 3D","Marvelous Entertainment","Marvelous Entertainment","June 23, 2011","Unreleased","Unreleased","Unreleased",""
"Fish On","SIMS Co., Ltd.","ASCII Media Works","June 9, 2011","Unreleased","Unreleased","Unreleased",""
"Fishdom H2O: Hidden Odyssey","Playrix","Cypronia","Unreleased","July 4, 2013","Unreleased","December 5, 2013",""
"Flap Flap","Sanuk Games","Bigben Interactive","Unreleased","February 19, 2015","Unreleased","February 19, 2015",""
"Flying Axe","Crasnencov","Crasnencov","Unreleased","May 20, 2021","Unreleased","April 15, 2021",""
